ID;Hogar;FechaVisita;MotivoVisita;EntregaEn;CuidadorPresen;Idcare;Firma
0;PU/GRE/CG/0260;05/05/2023;Seguimiento;SAI;0260/01;1e98d195-38fa-4cee-9e2b-8731c2d972a9;01
1;PU/GRE/CG/0202;09/05/2023;Seguimiento;SAI;0202/01;a1f9cfc2-51c2-417b-8177-42ccc628d275;01
2;PU/GRE/CG/0074;02/05/2023;Seguimiento;SAI;0074/01;a1e86953-4223-48c3-86df-3c3f419e4d02;01
3;PU/GRE/CG/0264;08/05/2023;Seguimiento;SAI;0264/01;54df74b3-ece6-4abd-ad99-264478ff1323;01
4;PU/GRE/CG/0016;09/05/2023;Seguimiento;En el hogar;0016/01;26e19b20-4b58-415f-8870-3a8e97b31b62;01
5;PU/GRE/CG/0148;08/05/2023;Seguimiento;SAI;0148/01;544b8ff7-f2df-4584-8c9d-fe746daea693;01
6;PU/GRE/CG/0106;04/05/2023;Seguimiento;SAI;0106/02;77c51c15-e6a1-4fef-b5bd-9bb349469be4;02
7;PU/GRE/CG/0141;04/05/2023;Seguimiento;En el hogar;0141/01;4cee805b-83d5-42e4-8b05-0ed3585fd1ce;01
8;PU/GRE/CG/0176;02/05/2023;Seguimiento;En el hogar;0176/02;8bf15d31-813f-40cc-824b-5ea8e3a93ee7;02
9;PU/GRE/CG/0201;10/05/2023;Seguimiento;SAI;0201/01;31c3a463-43ee-4c73-a048-41a6ad28c9aa;01
10;PU/GRE/CG/0307;03/05/2023;Seguimiento;SAI;0307/01;cf49e82b-6698-4c1d-ac40-5afe2f20bc8d;01
11;PU/GRE/CG/0186;09/05/2023;Seguimiento;SAI;0186/01;f2bc44f2-a087-48e9-843c-12a43825ae0f;01
12;PU/GRE/CG/0192;09/05/2023;Seguimiento;SAI;0192/01;755f34f5-c8d7-4162-bbfa-10a6e7a5a7df;01
13;PU/GRE/CG/0236;10/05/2023;Seguimiento;SAI;0236/01;996bb6cf-3cf9-46ac-8e8e-61a23ac5747e;01
